Código,Nome,Preço
BRA-01,Bracelete Nó Fino Ouro,79,9
BRA-02,Bracelete Abaulado Grosso Ouro,139,9
BRA-03,Bracelete Abaulado Fino Ouro,139,9
BRA-04,Bracelete Fio Liso Fecho Jóia Ouro,79,9
BRA-05,Bracelete Cordão Torcido Fino Ouro,79,9
BRA-06,Bracelete Ponto de Luz Quadrado Ródio Branco,159,9
BRA-07,Bracelete Duplo Cravejado Delicado Ródio Branco,79,9
BRA-08,Bracelete Cruzado Cravejado Ouro,139,9
BRA-18,Bracelete Gota Dupla Ouro,139,9
BRA-09,Bracelete Fino Bolinha Ouro,79,9
BRA-19,Bracelete Coração Cravejado Ouro,139,9
BRA-10,Bracelete São Bento Aberto Ouro,79,9
BRA-11,Bracelete Chapa Fina Ouro,79,9
BRA-14,Pulseira Riviera 3 Pontas 3mm Ródio Branco,199,9
BRA-21,Bracelete Ondulado Largo,139,9
BRA-23,Bracelete Espiral Grosso,139,9
BRA-24,Bracelete Martelado Grosso,149,9
BRA-25,Bracelete Detalhes Risca,139,9
BRA-26,Bracelete Liso Redondo,
BRA-27,Bracelete Duo Cravejado Rosé,
