Código,Nome,Preço
PEN-01,Brinco Espiral Ondulado,119,9
PEN-02,Brinco Elos Orgânicos,129,9
PEN-03,Brinco Cascata Ródio Branco,129,9
ARG-01,Brinco Argola Dupla,129,9
ARG-02,Brinco Croissant,129,9
ARG-03,Brinco Bolhas,139,9
CRA-01,Brinco Redondo Cravejado,99,9
CRA-02,Brinco Gota Cravejada,69,9
CRA-03,Brinco Gota Cristais,99,9
CLA-01,Brinco Coração Duo,79,9
CLA-02,Brinco Botão Dourado,99,9
ARG-18,Argola Fecho Italiano,69,9
ARG-19,Argola Larga Trançada,79,9
ARG-20,Argola 3 Fios Grossa,79,9
ARG-21,Brinco EarHook Cravejado,79,9
BRP-01,Brinco Espiral Ródio Branco,99,9
BRP-02,Brinco Cacho de Bolhas Ródio Branco,99,9
BRP-03,Brinco Meia-Argola Larga Ródio Branco,119,9
ORG-01,Brinco Orgânico Oval,59,9
FLR-01,Brinco Flor com Pérola,89,9
BNO-01,Brinco Flor Nó Dourado,89,9
TRI-01,Brinco Triângulo Cravejado Prata,79,9
ZIR-01,Brinco Duplo Solitário Virginia,79,9
NSR-01,Argolinha Nossa Senhora,59,9
CRZ-01,Brinco Cristal Azul Prata,49,9
CRV-01,Brinco Cristal Vermelho Prata,49,9
ARL-01,Brinco Argola Larga Lisa,59,9
EST-01,Brinco Earline com Estrela,89,9
CAN-01,Brinco Tubo Canelado Médio,89,9
CAN-02,Brinco Tubo Canelado Grosso,119,9
PAV-01,Argola Click Cravejada Grossa,
ESC-01,Brinco Earcuff Cristais Prata,119,9
ODI-01,Brinco Orgânico Disco,49,9
HUG-01,Brinco Argola Pingentes,59,9
GOT-01,Brinco Gota Cravejada Dourado,59,9
GOT-02,Brinco Gota Cravejada Prata,59,9
TRC-01,Argola Trançada Dourada G,69,9
COR-01,Brinco Coração Cravejado Dourado,59,9
COR-02,Brinco Coração Cravejado Prata,59,9
HUP-01,Argola Cravejada Quadrada Grossa,49,9
MRQ-01,Brinco Navete Cravejado,69,9
TRV-01,Brinco Trevo Cravejado,89,9
BTF-01,Brinco Botão Flor,79,9
GTL-01,Brinco Gota Lisa Dourada,79,9
SOL-01,Brinco Solitário Prata,69,9
BPP-01,Brinco Bola com Pérolas Prata,99,9
FLD-01,Brinco Folha e Disco,79,9
ACP-01,Argola Cravejada Prata,
ACD-01,Argola Canelada Fina Dourada,
SOL-02,Brinco Solitário Pequeno Prata,39,9
SOL-03,Brinco Solitário 12mm Prata,99,9
SOL-04,Brinco Gota Zircônia Prata,39,9
NSA-01,Brinco Nossa Senhora Aparecida Dourado,39,9
NSA-02,Brinco Nossa Senhora Aparecida Azul,39,9
ACP-02,Argola Canelada Prata,49,9
ABP-01,Argola Bolinhas Prata,39,9
ALD-01,Argola Retangular Fina Dourada,49,9
AGD-01,Argola Gota Zircônia Dourada,39,9
AGP-01,Brinco Bolinha Dourado,
ACX-01,Brinco Argola com Cruz,49,9
ALA-01,Argolinha Lisa Abaulada Dourada,
AQF-01,Argolinha Quadrada Fina Dourada,39,9
AGP-02,Argolinha Gota Cravejada Dourada,
ALP-01,Argolinha Lisa Prata,
SOL-05,Brinco Solitário 12mm Dourado,99,9
ABD-01,Argolinha Bolinha Dourada,39,9
BOR-01,Brinco Borboleta Cravejada,49,9
SOL-06,Brinco Solitário Prata PP,39,9
SOL-07,Brinco Solitário Prata Mini,39,9
SOL-08,Brinco Solitário Prata Médio,49,9
SOL-09,Brinco Solitário Dourado Médio,49,9
AAP-01,Argolinha Abaulada Prata,39,9
TRC-02,Argola Trançada Dourada M,59,9
ESC-02,Brinco Earcuff Coração,79,9
ENT-01,Brinco Entrelaçado,79,9
PDT-01,Brinco Pendente Ouro,79,9
PDT-02,Brinco Pendente Ródio Branco,79,9
DUP-01,Brinco Duplo Argolinha Correntinha Strass,
HAL-01,Brinco Botão Halo Cravejado,
AGV-01,Brinco Argolinha Cravejada Prata,
AGV-02,Brinco Argolinha Cravejada Dourada,
DUP-02,Brinco Duplo Argolinha Correntinha Cristais,
