Código,Nome,Preço
COL-01,Colar Cordão Baiano Fino Ródio Branco,99,9
COL-02,Colar Fio Ródio Branco,69,9
COL-03,Colar Bicolor Coração Vazado Ródio Branco,79,9
COL-04,Colar Com Uma Pérola Ouro,69,9
COL-05,Colar Riviera Fino Ródio Branco,129,9
COL-06,Colar Coração Vazado Ouro,119,9
COL-07,Colar Árvore da Vida Coração Ouro,139,9
COL-08,Colar Árvore da Vida Redondo Ouro,139,9
COL-09,Colar Espírito Santo Bicolor Ródio Branco,119,9
COL-10,Colar Relicário Redondo Ouro,129,9
COL-12,Chocker Riviera Baguette Ródio Branco,149,9
COL-13,Colar Riviera Colorida Ouro,149,9
COL-15,Chocker Elo Cartier Ródio Branco,79,9
COL-16,Chocker Corações Entrelaçados Ouro,59,9
COL-17,Chocker Fita M Ouro,129,9
COL-18,Chocker Elos Ródio Branco,99,9
COL-19,Chocker Bolinhas Ovais Ouro,89,9
COL-20,Chocker Fita P Ouro,89,9
COL-22,Chocker Fita P Ródio Branco,89,9
COL-23,Chocker Cordão Baiano Fino Ouro,89,9
COL-24,Colar Terço,79,9
COL-27,Colar com 2 Filhos,99,9
COL-28,Colar Riviera 3 Pontas 3mm,439,9
COL-29,Colar Riviera 3 Pontas 4mm,439,9
COL-30,Colar Snake P Ouro,129,9
COL-31,Colar Snake P Ródio Branco,129,9
COL-32,Colar Coração Cravejado com Menino,99,9
COL-34,Colar Coração com Menina,79,9
COL-35,Colar Coração com Menino,79,9
COL-36,Colar com Duas Meninas,119,9
COL-64,Colar Patuá Ródio Branco,99,9
COL-65,Colar São Bento Pérola,79,9
COL-39,Colar Solitário Zircônia Ouro,,
COL-40,Colar Elos Longo Ouro,,
COL-41,Colar Cobra Longo Ouro,,
COL-42,Colar Bolinhas Achatadas Ouro,,
COL-43,Colar Coração Liso Ouro,,
COL-44,Colar Cadeado Fino Ouro,,
COL-45,Colar Corações Achatados Prata Longo,,
COL-46,Colar Corações Achatados Prata,,
COL-47,Colar Cruz Zircônia Retângulo Ouro,,
COL-48,Colar Solitário Zircônia Prata,,
COL-49,Colar Raquete Beach Tennis Prata,,
COL-50,Colar Coração Liso Prata,,
COL-51,Colar Cadeado Fino Longo Ouro,,
COL-52,Colar Raquete Bola Beach Tennis Prata,,
COL-53,Colar Raquete Beach Tennis Ouro,,
COL-54,Colar Bolinha Única Ouro,,
COL-55,Colar Bolinhas Achatadas Prata,,
COL-56,Colar Bolinhas Ouro Longo,,
COL-66,Colar Iniciais Duplas,,
COL-67,Colar Menino Ouro,,
COL-68,Colar Menina Zircônia Ouro,,
COL-69,Colar Terço Pérola,,
LET-01,Colar de Letra,99,9
