codigo,nome,categoria,preco,estoque,ativo
PEN-01,Brinco Espiral Ondulado,Brincos,"119,90",,sim
PEN-02,Brinco Elos Orgânicos,Brincos,"129,90",,sim
PEN-03,Brinco Cascata Prata,Brincos,"129,90",,sim
ARG-01,Brinco Argola Dupla,Brincos,"129,90",,sim
ARG-02,Brinco Croissant,Brincos,"129,90",,sim
ARG-03,Brinco Bolhas,Brincos,"139,90",,sim
CRA-01,Brinco Redondo Cravejado,Brincos,"99,90",,sim
CRA-02,Brinco Gota Cravejada,Brincos,"69,90",,sim
CRA-03,Brinco Gota Cristais,Brincos,"99,90",,sim
CLA-02,Brinco Botão Dourado,Brincos,"99,90",,sim
ARG-04,Argola Lisa Clássica,Duplas de brincos,,,sim
ARG-04-P,Argola Lisa Clássica (P),Duplas de brincos,"39,90",,sim
ARG-04-G,Argola Lisa Clássica (G),Duplas de brincos,"49,90",,sim
ARG-05,Argola Martelada,Duplas de brincos,,,sim
ARG-05-P,Argola Martelada (P),Duplas de brincos,"39,90",,sim
ARG-05-G,Argola Martelada (G),Duplas de brincos,"49,90",,sim
ARG-06,Argola Retangular,Duplas de brincos,,,sim
ARG-06-P,Argola Retangular (P),Duplas de brincos,"49,90",,sim
ARG-06-G,Argola Retangular (G),Duplas de brincos,"59,90",,sim
ARG-07,Argola Quadrada Cravejada,Duplas de brincos,,,sim
ARG-07-P,Argola Quadrada Cravejada (P),Duplas de brincos,"39,90",,sim
ARG-07-G,Argola Quadrada Cravejada (G),Duplas de brincos,"45,90",,sim
ARG-08,Argola Cravejada,Duplas de brincos,,,sim
ARG-08-P,Argola Cravejada (P),Duplas de brincos,"39,90",,sim
ARG-08-G,Argola Cravejada (G),Duplas de brincos,"45,90",,sim
ARG-09,Argola Canelada,Duplas de brincos,,,sim
ARG-09-P,Argola Canelada (P),Duplas de brincos,"49,90",,sim
ARG-09-G,Argola Canelada (G),Duplas de brincos,"59,90",,sim
ARG-10,Argola Redonda Lisa,Trios de brincos,,,sim
ARG-10-P,Argola Redonda Lisa (P),Trios de brincos,"39,90",,sim
ARG-10-M,Argola Redonda Lisa (M),Trios de brincos,"45,90",,sim
ARG-10-G,Argola Redonda Lisa (G),Trios de brincos,"49,90",,sim
ARG-11,Argola Grossa Lisa,Trios de brincos,,,sim
ARG-11-P,Argola Grossa Lisa (P),Trios de brincos,"49,90",,sim
ARG-11-M,Argola Grossa Lisa (M),Trios de brincos,"55,90",,sim
ARG-11-G,Argola Grossa Lisa (G),Trios de brincos,"59,90",,sim
ARG-12,Argola Fina Lisa,Trios de brincos,,,sim
ARG-12-P,Argola Fina Lisa (P),Trios de brincos,"39,90",,sim
ARG-12-M,Argola Fina Lisa (M),Trios de brincos,"45,90",,sim
ARG-12-G,Argola Fina Lisa (G),Trios de brincos,"49,90",,sim
ARG-13,Argola Cordão Torcido,Trios de brincos,,,sim
ARG-13-P,Argola Cordão Torcido (P),Trios de brincos,"39,90",,sim
ARG-13-M,Argola Cordão Torcido (M),Trios de brincos,"45,90",,sim
ARG-13-G,Argola Cordão Torcido (G),Trios de brincos,"49,90",,sim
ARG-14,Argola Cravejada Grossa,Trios de brincos,,,sim
ARG-14-P,Argola Cravejada Grossa (P),Trios de brincos,"49,90",,sim
ARG-14-M,Argola Cravejada Grossa (M),Trios de brincos,"55,90",,sim
ARG-14-G,Argola Cravejada Grossa (G),Trios de brincos,"59,90",,sim
ARG-15,Argola Cravejada Fina,Trios de brincos,,,sim
ARG-15-P,Argola Cravejada Fina (P),Trios de brincos,"39,90",,sim
ARG-15-M,Argola Cravejada Fina (M),Trios de brincos,"45,90",,sim
ARG-15-G,Argola Cravejada Fina (G),Trios de brincos,"49,90",,sim
ARG-16,Argola Texturizada,Trios de brincos,,,sim
ARG-16-P,Argola Texturizada (P),Trios de brincos,"39,90",,sim
ARG-16-M,Argola Texturizada (M),Trios de brincos,"45,90",,sim
ARG-16-G,Argola Texturizada (G),Trios de brincos,"49,90",,sim
ARG-17,Argola Ondulada,Trios de brincos,,,sim
ARG-17-P,Argola Ondulada (P),Trios de brincos,"39,90",,sim
ARG-17-M,Argola Ondulada (M),Trios de brincos,"45,90",,sim
ARG-17-G,Argola Ondulada (G),Trios de brincos,"49,90",,sim
COL-01,Colar Cordão Baiano Fino,Colares,"99,90",,sim
COL-02,Colar Fino,Colares,"69,90",,sim
COL-03,Colar Bicolor Coração Vazado,Colares,"79,90",,sim
COL-04,Colar Com Pérola,Colares,"69,90",,sim
COL-05,Colar Riviera Fino,Colares,"129,90",,sim
ARG-18,Argola Angular Pequena,Brincos,"69,90",,sim
ARG-19,Argola Larga Trançada,Brincos,"79,90",,sim
ARG-20,Argola Trançada Grossa,Brincos,"79,90",,sim
ARG-21,Argola Trançada Fina,Brincos,"79,90",,sim
BRP-01,Brinco Bolha Trançado Prata,Brincos,"99,90",,sim
BRP-02,Brinco Cacho de Bolhas Prata,Brincos,"99,90",,sim
BRP-03,Brinco Meia-Argola Larga Prata,Brincos,"119,90",,sim
CONJ-01,Conjunto Pérola Delicado,Conjuntos,"79,90",,sim
CONJ-02,Conjunto Pérola,Conjuntos,"99,90",,sim
CONJ-03,Conjunto Coração,Conjuntos,"119,90",,sim
CONJ-04,Conjunto Ponto de Luz,Conjuntos,"119,90",,sim
CONJ-05,Conjunto Ponto de Luz Prata,Conjuntos,"99,90",,sim
CONJ-06,Conjunto Bolinha Ouro,Conjuntos,,,
CONJ-07,Conjunto Coração Cravejado Prata,Conjuntos,,,
CONJ-08,Conjunto Madre Pérola com Aro,Conjuntos,"199,90",,sim
CONJ-09,Conjunto Redondo Orgânico Ouro,Conjuntos,"99,90",,sim
COL-06,Colar Coração Vazado,Colares,"119,90",,sim
