ARQ-01,Argolinha Quadrada Dourada,Brincos,,,sim
ARQ-01-P,Argolinha Quadrada Dourada (P),Brincos,"49,90",,sim
ARQ-01-M,Argolinha Quadrada Dourada (M),Brincos,"55,90",,sim
ARQ-01-G,Argolinha Quadrada Dourada (G),Brincos,"59,90",,sim
AGC-01,Argolinha Gota Cravejada Dourada,Brincos,,,sim
AGC-01-P,Argolinha Gota Cravejada Dourada (P),Brincos,"49,90",,sim
AGC-01-M,Argolinha Gota Cravejada Dourada (M),Brincos,"55,90",,sim
AGC-01-G,Argolinha Gota Cravejada Dourada (G),Brincos,"59,90",,sim
AGC-02,Argolinha Gota Cravejada Prata,Brincos,,,sim
AGC-02-P,Argolinha Gota Cravejada Prata (P),Brincos,"49,90",,sim
AGC-02-M,Argolinha Gota Cravejada Prata (M),Brincos,"55,90",,sim
AGC-02-G,Argolinha Gota Cravejada Prata (G),Brincos,"59,90",,sim
AGL-01,Argolinha Gota Lisa Dourada,Brincos,,,sim
AGL-01-P,Argolinha Gota Lisa Dourada (P),Brincos,"39,90",,sim
AGL-01-M,Argolinha Gota Lisa Dourada (M),Brincos,"45,90",,sim
AGL-01-G,Argolinha Gota Lisa Dourada (G),Brincos,"49,90",,sim
AMC-01,Argolinha Meia Cravejada Dourada,Brincos,,,sim
AMC-01-P,Argolinha Meia Cravejada Dourada (P),Brincos,"49,90",,sim
AMC-01-M,Argolinha Meia Cravejada Dourada (M),Brincos,"55,90",,sim
AMC-01-G,Argolinha Meia Cravejada Dourada (G),Brincos,"59,90",,sim
ACR-01,Argolinha Croissant Dourada,Brincos,,,sim
ACR-01-M,Argolinha Croissant Dourada (M),Brincos,"49,90",,sim
ACR-01-G,Argolinha Croissant Dourada (G),Brincos,"59,90",,sim
AOF-01,Argolinha Oval Fina Dourada,Brincos,"39,90",,sim
ATC-01,Argolinha Torcida com Cravejada Dourada,Brincos,,,sim
ATC-02,Argolinha Torcida com Cravejada Prata,Brincos,,,sim
