codigo,nome,categoria,preco,estoque,ativo
ANE-19,Anel Placa Retangular Dourado,Anéis,,,sim
ANE-20,Anel Flor Cravejada Dourado,Anéis,,,sim
ANE-21,Anel Meia Aliança Cravejada Dourado,Anéis,,,sim
ANE-22,Anel Torcido Grosso Dourado,Anéis,,,sim
ANE-23,Anel Coração Auréola Dourado,Anéis,,,sim
ANE-23-18,Anel Coração Auréola Dourado (18),Anéis,,,sim
ANE-23-22,Anel Coração Auréola Dourado (22),Anéis,,,sim
ANE-24,Anel Elo Cravejado Dourado,Anéis,,,sim
ANE-25,Anel Solitário Fino Prata,Anéis,,,sim
ANE-25-13,Anel Solitário Fino Prata (13),Anéis,,,sim
ANE-25-19,Anel Solitário Fino Prata (19),Anéis,,,sim
ANE-26,Anel Solitário Coração Cravejado Dourado,Anéis,,,sim
ANE-26-16,Anel Solitário Coração Cravejado Dourado (16),Anéis,,,sim
ANE-26-18,Anel Solitário Coração Cravejado Dourado (18),Anéis,,,sim
ANE-27,Anel Escamas Prata,Anéis,,,sim
ANE-27-15,Anel Escamas Prata (15),Anéis,,,sim
ANE-27-20,Anel Escamas Prata (20),Anéis,,,sim
ANE-27-22,Anel Escamas Prata (22),Anéis,,,sim
ANE-28,Anel Bambu Prata,Anéis,,,sim
ANE-28-16,Anel Bambu Prata (16),Anéis,,,sim
ANE-28-18,Anel Bambu Prata (18),Anéis,,,sim
ANE-28-19,Anel Bambu Prata (19),Anéis,,,sim
ANE-29,Anel Solitário Redondo Cravejado Dourado,Anéis,,,sim
ANE-29-18,Anel Solitário Redondo Cravejado Dourado (18),Anéis,,,sim
ANE-29-20,Anel Solitário Redondo Cravejado Dourado (20),Anéis,,,sim
ANE-29-22,Anel Solitário Redondo Cravejado Dourado (22),Anéis,,,sim
ANE-30,Anel Nó Fino Prata,Anéis,,,sim
ANE-30-16,Anel Nó Fino Prata (16),Anéis,,,sim
ANE-30-18,Anel Nó Fino Prata (18),Anéis,,,sim
ANE-30-20,Anel Nó Fino Prata (20),Anéis,,,sim
ANE-30-24,Anel Nó Fino Prata (24),Anéis,,,sim
ANE-31,Anel Solitário Fino Dourado,Anéis,,,sim
ANE-31-15,Anel Solitário Fino Dourado (15),Anéis,,,sim
ANE-31-18,Anel Solitário Fino Dourado (18),Anéis,,,sim
ANE-31-20,Anel Solitário Fino Dourado (20),Anéis,,,sim
ANE-32,Anel Solitário Clássico Dourado,Anéis,,,sim
ANE-32-14,Anel Solitário Clássico Dourado (14),Anéis,,,sim
ANE-32-20,Anel Solitário Clássico Dourado (20),Anéis,,,sim
ANE-32-22,Anel Solitário Clássico Dourado (22),Anéis,,,sim
ANE-32-24,Anel Solitário Clássico Dourado (24),Anéis,,,sim
ANE-33,Anel Corrente Cravejada Dourado,Anéis,,,sim
ANE-34,Anel Bambu Dourado,Anéis,,,sim
ANE-35,Anel Barra Horizontal Dourado,Anéis,,,sim
ANE-36,Anel Nó Assimétrico Dourado,Anéis,,,sim
ANE-37,Anel Aliança Cravejada Prata,Anéis,,,sim
ANE-38,Anel Cravejado Redondo Dourado,Anéis,,,sim
ANE-38-18,Anel Cravejado Redondo Dourado (18),Anéis,,,sim
ANE-38-22,Anel Cravejado Redondo Dourado (22),Anéis,,,sim
