PIN-COR,Pingente Coração,Pingentes,"39,90",,sim
PIN-ESP,Pingente Espírito Santo,Pingentes,"39,90",,sim
PIN-PNP,Pingente Pai Nosso Pequeno,Pingentes,"39,90",,sim
PIN-ESM,Pingente Espírito Santo Maior,Pingentes,"49,90",,sim
PIN-ARV,Pingente Árvore da Vida,Pingentes,"49,90",,sim
PIN-MIC,Pingente Mickey,Pingentes,"49,90",,sim
PIN-CRU,Pingente Crucifixo,Pingentes,"49,90",,sim
PIN-EST,Pingente Estrela,Pingentes,"49,90",,sim
PIN-ESC,Pingente Espírito Santo Cravejado,Pingentes,"49,90",,sim
PIN-PNG,Pingente Pai Nosso Grande,Pingentes,"49,90",,sim
PIN-CRR,Pingente Cruz Redonda,Pingentes,"49,90",,sim
PIN-ESR,Pingente Espírito Santo Redondo,Pingentes,"49,90",,sim
