Código,Nome,Preço
PIN-COR,Pingente Coração,39,9
PIN-ESP,Pingente Espírito Santo,39,9
PIN-PNP,Pingente Pai Nosso Pequeno,39,9
PIN-ESM,Pingente Espírito Santo Maior,49,9
PIN-ARV,Pingente Árvore da Vida,49,9
PIN-MIC,Pingente Mickey,49,9
PIN-CRU,Pingente Crucifixo,49,9
PIN-EST,Pingente Estrela,49,9
PIN-ESC,Pingente Espírito Santo Cravejado,49,9
PIN-PNG,Pingente Pai Nosso Grande,49,9
PIN-CRR,Pingente Cruz Redonda,49,9
PIN-ESR,Pingente Espírito Santo Redondo,49,9
PIN-13,Pingente Coração Cravejado,49,9
PIN-14,Pingente Espírito Santo Mini,39,9
PIN-15,Pingente Coração Espírito Santo,49,9
PIN-16,Pingente Cruz Cravejada Redonda,49,9
PIN-17,Pingente Espírito Santo Detalhado,49,9
PIN-18,Pingente Medalha Pai Nosso,49,9
PIN-19,Pingente Árvore da Vida Cravejada,49,9
PIN-20,Pingente Mickey Cravejado,49,9
PIN-21,Pingente Medalha Pai Nosso Ondulada,49,9
PIN-22,Pingente Coração Cravejado Mini,39,9
PIN-23,Pingente Estrela Cravejada,49,9
