cod,nome,categoria,preco,estoque,ativo
LUM-01-A,Colar LUME - Letra A,Colares,99.90,1,1
LUM-01-B,Colar LUME - Letra B,Colares,99.90,1,1
LUM-01-C,Colar LUME - Letra C,Colares,99.90,1,1
LUM-01-D,Colar LUME - Letra D,Colares,99.90,1,1
LUM-01-E,Colar LUME - Letra E,Colares,99.90,1,1
LUM-01-F,Colar LUME - Letra F,Colares,99.90,1,1
LUM-01-G,Colar LUME - Letra G,Colares,99.90,1,1
LUM-01-H,Colar LUME - Letra H,Colares,99.90,1,1
LUM-01-I,Colar LUME - Letra I,Colares,99.90,1,1
LUM-01-J,Colar LUME - Letra J,Colares,99.90,1,1
LUM-01-K,Colar LUME - Letra K,Colares,99.90,1,1
LUM-01-L,Colar LUME - Letra L,Colares,99.90,1,1
LUM-01-M,Colar LUME - Letra M,Colares,99.90,1,1
LUM-01-N,Colar LUME - Letra N,Colares,99.90,1,1
LUM-01-P,Colar LUME - Letra P,Colares,99.90,1,1
LUM-01-R,Colar LUME - Letra R,Colares,99.90,1,1
LUM-01-S,Colar LUME - Letra S,Colares,99.90,1,1
LUM-01-T,Colar LUME - Letra T,Colares,99.90,1,1
LUM-01-V,Colar LUME - Letra V,Colares,99.90,1,1
LUM-01-Y,Colar LUME - Letra Y,Colares,99.90,1,1
