codigo,nome,categoria,preco,estoque,ativo
COL-24,Colar Terço,Colares,,,
COL-27,Colar com 2 Filhos,Colares,"99,9",,sim
COL-28,Colar Riviera 3 Pontas 3mm,Colares,"439,9",,sim
COL-29,Colar Riviera 3 Pontas 4mm,Colares,"439,9",,sim
COL-30,Colar Snake P Ouro,Colares,"129,9",,sim
COL-31,Colar Snake P Ródio Branco,Colares,"129,9",,sim
COL-32,Colar Coração Cravejado com Menino,Colares,"99,9",,sim
COL-34,Colar Coração com Menina,Colares,"79,9",,sim
COL-35,Colar Coração com Menino,Colares,"79,9",,sim
COL-36,Colar com Duas Meninas,Colares,"119,9",,sim
COL-64,Colar Patuá Ródio Branco,Colares,"99,9",,sim
COL-65,Colar São Bento Pérola,Colares,"79,9",,sim
COL-60,Chocker Elos Português PP Ouro,Chocker,"69,9",,sim
COL-39,Colar Solitário Zircônia Ouro,Colares,,,
COL-40,Colar Elos Longo Ouro,Colares,,,
COL-41,Colar Cobra Longo Ouro,Colares,,,
COL-42,Colar Bolinhas Achatadas Ouro,Colares,,,
COL-43,Colar Coração Liso Ouro,Colares,,,
COL-44,Colar Cadeado Fino Ouro,Colares,,,
COL-45,Colar Corações Achatados Prata Longo,Colares,,,
COL-46,Colar Corações Achatados Prata,Colares,,,
COL-47,Colar Cruz Zircônia Retângulo Ouro,Colares,,,
COL-48,Colar Solitário Zircônia Prata,Colares,,,
COL-49,Colar Raquete Beach Tennis Prata,Colares,,,
COL-50,Colar Coração Liso Prata,Colares,,,
COL-51,Colar Cadeado Fino Longo Ouro,Colares,,,
COL-52,Colar Raquete Bola Beach Tennis Prata,Colares,,,
COL-53,Colar Raquete Beach Tennis Ouro,Colares,,,
COL-54,Colar Bolinha Única Ouro,Colares,,,
COL-55,Colar Bolinhas Achatadas Prata,Colares,,,
COL-56,Colar Bolinhas Ouro Longo,Colares,,,
COL-66,Colar Iniciais Duplas,Colares,,,
COL-67,Colar Menino Ouro,Colares,,,
COL-68,Colar Menina Zircônia Ouro,Colares,,,
COL-69,Colar Terço Pérola,Colares,,,
BRA-01,Bracelete Nó Fino Ouro,Braceletes,"79,9",2,
BRA-02,Bracelete Abaulado Grosso Ouro,Braceletes,"139,9",1,
BRA-03,Bracelete Abaulado Fino Ouro,Braceletes,"139,9",1,
BRA-04,Bracelete Fio Liso Fecho Jóia Ouro,Braceletes,"79,9",1,
BRA-05,Bracelete Cordão Torcido Fino Ouro,Braceletes,"79,9",2,
BRA-06,Bracelete Ponto de Luz Quadrado Ródio Branco,Braceletes,"159,9",2,
BRA-07,Bracelete Duplo Cravejado Delicado Ródio Branco,Braceletes,"79,9",1,
BRA-08,Bracelete Cruzado Cravejado Ouro,Braceletes,"139,9",1,
BRA-09,Bracelete Fino Bolinha Ouro,Braceletes,"79,9",1,
BRA-10,Bracelete São Bento Aberto Ouro,Braceletes,"79,9",1,
BRA-11,Bracelete Chapa Fina Ouro,Braceletes,"79,9",2,
BRA-18,Bracelete Gota Dupla Ouro,Braceletes,"139,9",1,
BRA-19,Bracelete Coração Cravejado Ouro,Braceletes,"139,9",1,
BRA-21,Bracelete Ondulado Largo,Braceletes,"139,9",,
BRA-22,Bracelete Liso Grosso 2,Braceletes,,,
BRA-23,Bracelete Espiral Grosso,Braceletes,"139,9",1,
BRA-24,Bracelete Martelado Grosso,Braceletes,"149,9",1,
BRA-25,Bracelete Detalhes Risca,Braceletes,"139,9",,
BRC-01,Bracelete Martelado,Braceletes,"139,9",,sim
BRC-02,Bracelete Facetado,Braceletes,"139,9",,sim
BRC-03,Bracelete Bambu Trançado,Braceletes,"139,9",,sim
BRC-04,Bracelete Liso Abaulado,Braceletes,"139,9",,sim
BRC-05,Bracelete Gota Lisa,Braceletes,"139,9",,sim
BRC-06,Bracelete Ondulado Largo,Braceletes,"149,9",,sim
AAP-01,Argolinha Abaulada Prata,Brincos,"39,9",,sim
ABD-01,Argolinha Bolinha Dourada,Brincos,"39,9",2,sim
ABP-01,Argola Bolinhas Prata,Brincos,"39,9",2,sim
ACD-01,Argola Canelada Fina Dourada,Brincos,,,sim
