Código,Nome,Preço
PUL-01,Pulseira Medalinhas Ouro,49,9
PUL-02,Pulseira Cartier Ouro,59,9
PUL-03,Pulseira Snake Ouro,69,9
PUL-04,Pulseira Uma Bolinha Ouro,49,9
PUL-05,Pulseira Pérolas Redondas Ouro,59,9
PUL-06,Pulseira Terço Pérolas Ouro,59,9
PUL-07,Pulseira Pérolas Ovais Ouro,59,9
PUL-08,Pulseira Tiffany Ouro,59,9
PUL-09,Pulseira Bolinhas Ródio Branco,59,9
PUL-10,Pulseira Riviera Fina Ródio Branco,69,9
PUL-12,Pulseira Pérolas Barrocas Ouro,59,9
PUL-13,Pulseira Elos Gourmet Ouro,49,9
PUL-14,Pulseira Cordão Baiano Fino,59,9
PUL-15,Pulseira Riviera Navete Prata,
