Código,Nome,Preço
ARG-10,Argolinha Redonda Lisa,
ARG-11,Argolinha Grossa Lisa,
ARG-12,Argolinha Fina Lisa,
ARG-13,Argolinha Torcida,
ARG-14,Argolinha Cravejada Grossa,
ARG-15,Argolinha Cravejada Fina,
ARG-16,Argolinha Coração Cravejado,
ARG-17,Argolinha Coração Liso,
TRB-01,Trio Ponto de Luz com Base Dourado,79,9
TRB-02,Trio Ponto de Luz Prata,79,9
TRB-03,Trio Ponto de Luz Dourado,79,9
TRB-04,Trio Gota Zircônia Dourado,79,9
TRB-05,Trio Sortido Dourado,89,9
TRB-06,Trio Geométrico Prata,99,9
TRB-07,Trio Ponto de Luz Dourado Grande,79,9
TRB-08,Trio Geométrico Dourado,99,9
TRB-09,Trio Bolinha Dourado,79,9
ARQ-01,Argolinha Triangular Dourada,
AGC-01,Argolinha Gota Cravejada Dourada,
AGC-02,Argolinha Ondulada Prata,
AGL-01,Argolinha Gota Lisa Dourada,
AOF-01,Argolinha em V Dourada,
ADL-01,Argolinha Delicada Ouro,
